variable,label,dtype,n_unique,pct_missing
index,Folio identificador,int16,17843,0.0
rururb,Tipo de poblamiento,int8,2,0.0
entidad,Entidad,int8,32,0.0
sexo,Sexo,int8,2,0.0
edad,Edad,int8,40,0.0
tamhog,Número de integrantes del hogar,float64,10,0.0
jefe_hogar,Jefatura del hogar,float32,2,0.0
cohorte,Grupo de edad,float32,4,0.0
p8,"Asiste (de manera presencial, línea o híbrida) actualmente a la escuela?",int16,3,0.0
p9,¿Cuál es el último nivel que alcanzó/asiste en la escuela?,int8,14,0.0
p10,¿Cuál es el último grado o año que alcanzó en este nivel?,float64,7,2.0
p16,¿Actualmente usted…?,int8,7,0.0
p17,"Cuando usted tiene problemas de salud, ¿en dónde se atiende con mayor frecuencia",int16,9,0.0
p18_1,¿Está afiliado(a) en el Seguro Social (IMSS)?,int8,2,0.0
p18_2,¿Está afiliado(a) ISSSTE o ISSSTE estatal?,int8,2,0.0
p18_3,"¿Está afiliado(a) Pemex, Defensa o Marina?",int8,2,0.0
p18_4,¿Está afiliado(a) en el Seguro Popular o INSABI (Instituto de Salud para el Bien,int8,2,0.0
p18_5,¿Está afiliado(a) por un Seguro Privado?,int8,2,0.0
p18_6,¿Está afiliado(a)?  Otra institución,int8,2,0.0
p18_7,¿Está afiliado(a)? No está afiliado/a o inscrito/a a servicios médicos,int8,2,0.0
p18_8,¿Está afiliado(a)? Ningún otro,int8,2,0.0
p19,Entidad a la que vivía 14 años,int8,32,0.0
p20,Municipio en el que vivía 14 años,float32,984,0.0
p20_COD,Municipio en el que vivía 14 años codificado,str,978,0.0
p21,"Y ese lugar en el que vivía a los 14 años, en ese tiempo, ¿era…?",int8,5,0.0
p22,¿Cuántas personas vivían en su hogar cuando tenía 14 años de edad?,int32,30,0.0
p23,"En la vivienda en la que usted vivía a los 14 años, ¿cuántos cuartos tenía en to",int8,17,0.0
p24,"Y en esa vivienda, ¿cuántos cuartos usaban para dormir, sin contar pasillos ni b",int8,12,0.0
p25,¿De qué material era la mayor parte del piso de esa vivienda?,int8,3,0.0
p26a,"Cuando tenía 14 años, ¿tenían…? a) agua entubada dentro de la vivienda",int16,3,0.0
p26b,"Cuando tenía 14 años, ¿tenían…? b) electricidad",int16,3,0.0
p26c,"Cuando tenía 14 años, ¿tenían…? c) baño dentro de la vivienda",int16,3,0.0
p26d,"Cuando tenía 14 años, ¿tenían…? d) calentador de agua (boiler o solar)",int16,3,0.0
p26e,"Cuando tenía 14 años, ¿tenían…? e) personal remunerado del hogar",int16,3,0.0
p27,¿Esa vivienda era…?,int16,6,0.0
p28,¿En qué clase de vivienda vivía usted cuando tenía 14 años?,int8,9,0.0
p29a,¿A los 14 años contaba con…? a) sala y/o comedor,int16,3,0.0
p29b,¿A los 14 años contaba con…? b) jardín,int16,3,0.0
p29c,¿A los 14 años contaba con…? c) patio,int16,3,0.0
p29d,¿a los 14 años contaba con…? d) cuarto de lavado,int16,3,0.0
p29e,¿A los 14 años contaba con…? e) cuarto de televisión o estudio,int16,3,0.0
p29f,¿A los 14 años contaba con…? f) cochera o cajón de estacionamiento,int16,3,0.0
p29g,¿A los 14 años contaba con…? g) cuarto separado para cocinar,int16,3,0.0
p30,¿Cuántos automóviles propios tenía en el hogar en el que vivía a los 14 años?,int8,20,0.0
p31a,"A los 14 años, ¿tenían…? a) estufa de gas o eléctrica",int16,3,0.0
p31b,"A los 14 años, ¿tenían…? b) lavadora de ropa",int16,3,0.0
p31c,"A los 14 años, ¿tenían…? c) refrigerador",int16,3,0.0
p31d,"A los 14 años, ¿tenían…? d) teléfono fijo",int16,3,0.0
p31e,"A los 14 años, ¿tenían…? e) televisor",int16,3,0.0
p31f,"A los 14 años, ¿tenían…? f) tostador eléctrico de pan",int16,3,0.0
p31g,"A los 14 años, ¿tenían…? g) aspiradora",int16,3,0.0
p31h,"A los 14 años, ¿tenían…? h) televisión por cable (antena parabólica, Sky)",int16,3,0.0
p31i,"A los 14 años, ¿tenían…? i) horno de microondas",int16,3,0.0
p31j,"A los 14 años, ¿tenían…? j) teléfono celular",int16,3,0.0
p31k,"A los 14 años, ¿tenían…? k) computadora, laptop o tablet",int16,3,0.0
p31l,"A los 14 años, ¿tenían…? l) conexión a internet",int16,3,0.0
p31m,"A los 14 años, ¿tenían…? m) videocasetera o reproductor de DVD",int16,3,0.0
p31n,"A los 14 años, ¿tenían…? n) motocicleta y/o motoneta",int16,3,0.0
p31o,"A los 14 años, ¿tenían…? o) bicicleta y/o triciclo para transportarse",int16,3,0.0
p32a,"A los 14 años, ¿tenían? a) otra vivienda o departamento (diferente a la casa en",int16,3,0.0
p32b,"A los 14 años, ¿tenían? b) un local comercial",int16,3,0.0
p32c,"A los 14 años, ¿tenían? c) algún terreno o predio",int16,3,0.0
p32d,"A los 14 años, ¿tenían? d) animales de trabajo (caballos, mulas o burros) o gana",int16,3,0.0
p32e,"A los 14 años, ¿tenían? e) alguna cuenta de ahorro (bancaria o de una caja popul",int16,3,0.0
p32f,"A los 14 años, ¿tenían? f) alguna tarjeta de crédito bancaria",int16,3,0.0
p32g,"A los 14 años, ¿tenían? g) alguna tarjeta de crédito de tienda departamental",int16,3,0.0
p32h,"A los 14 años, ¿tenían? h) cuenta o tarjeta de nómina (donde depositan su sueldo",int16,3,0.0
p32i,"A los 14 años,¿tenían? i) cuenta o tarjeta de pensión",int16,3,0.0
p32j,"A los 14 años, ¿tenían? j) cuenta o tarjeta para recibir apoyos de gobierno",int16,3,0.0
p32k,"A los 14 años, ¿tenían? k) cuenta de cheques",int16,3,0.0
p32l,"A los 14 años, ¿tenían? l) depósitos a plazo fijo (solo podían retirar en determ",int16,3,0.0
p32m,"A los 14 años, ¿tenían? m) fondos de inversión (tener en acciones en casa de bol",int16,3,0.0
p32n,"A los 14 años, ¿tenían? n) algún seguro de vida, gastos médicos, funerario, etc.",int16,3,0.0
p32o,"A los 14 años, ¿alguna persona de su hogar era dueña/propietaria de…? o) otro pr",int16,3,0.0
p33a,¿Donde vivía a los 14 años? a) el alumbrado público iluminaba bien las calles y,int16,3,0.0
p33b,¿Donde vivía a los 14 años? b) había escuelas o bibliotecas públicas cercanas,int16,3,0.0
p33c,"¿Donde vivía a los 14 años? c) había centros médicos cercanos (hospitales, clíni",int16,3,0.0
p33d,¿Donde vivía a los 14 años? d) había guarderías o estancias infantiles cercanas,int16,3,0.0
p33e,¿Donde vivía a los 14 años? e) había lugares de esparcimiento cercanos (plazas p,int16,3,0.0
p33f,¿Donde vivía a los 14 años? f) había seguridad en la colonia (no ocurrían delito,int16,3,0.0
p33g,¿Donde vivía a los 14 años? g) había facilidad para transportarse a otros lugare,int16,3,0.0
p33h,¿Donde vivía a los 14 años? h) había limpieza en las calles,int16,3,0.0
p33i,¿Donde vivía a los 14 años? i) había casas de día o residencias para adultos may,int16,3,0.0
p34a,¿Su padre vive actualmente?,int16,4,0.0
p34b,¿Su madre vive actualmente?,int16,4,0.0
p35a,¿Cómo qué edad tenía su padre cuando murió?,float64,93,62.8
p35b,¿Cómo qué edad tenía su madre cuando murió?,float64,91,71.8
p36a,¿Qué edad tiene hoy su padre?,float64,93,6.3
p36b,¿Qué edad tiene hoy su madre?,float64,86,2.0
p37a,"Actualmente, ¿su padre recibe una pensión o jubilación?",float64,3,44.6
p38a_1,¿Dónde proviene pensión del padre? Por su trabajo (IMSS o ISSSTE),float64,2,77.4
p38a_2,¿Dónde proviene pensión del padre? Viudez (IMSS o ISSSTE),float64,2,77.4
p38a_3,¿Dónde proviene pensión del padre? Esquema de jubilación privado,float64,2,77.4
p38a_4,¿Dónde proviene pensión del padre? Divorcio o separación,float64,2,77.4
p38a_5,¿Dnde proviene pensión del padre? Programa “Pensión para el bienestar de las per,float64,2,77.4
p38a_8,¿De dónde proviene pensión de su padre? NS,float64,2,77.4
p37b,"Actualmente, ¿su madre recibe una pensión o jubilación?",float64,3,30.5
p38b_1,¿Dónde proviene pensión de madre? Por su trabajo (IMSS o ISSSTE),float64,2,75.6
p38b_2,¿Dónde proviene pensión de madre? Viudez (IMSS o ISSSTE),float64,2,75.6
p38b_3,¿Dónde proviene pensión de madre? Esquema de jubilación privado,float64,2,75.6
p38b_4,¿Dónde proviene pensión de madre? Divorcio o separación,float64,2,75.6
p38b_5,¿Dónde proviene  pensión de madre? Pensión para el bienestar de las personas adu,float64,2,75.6
p38b_8,¿De dónde proviene pensión de su madre? NS,float64,2,75.6
p39,"Cuando usted tenía alrededor de 14 años, ¿con quién vivía?",int8,5,0.0
p40,¿Quién era el principal sostén económico del hogar donde usted vivía cuando tení,int8,5,0.0
p40_otro,¿Quién era el principal sostén económico del hogar donde usted vivía cuando tení,float32,4,93.6
p41a,¿Su padre asistió a la escuela o no asistió a la escuela?,float64,3,4.9
p41b,¿Su madre asistió a la escuela o no asistió a la escuela?,float64,3,2.0
p42a,¿Cuál fue el último nivel educativo que alcanzó su padre en la escuela?,float64,14,36.0
p43a,¿Cuál fue el último grado o año que alcanzó su padre en ese nivel?,float64,7,37.8
p44a,¿Su padre sabe leer y escribir o no sabe leer y escribir un recado?,float64,3,68.2
p42b,¿Cuál fue el último nivel educativo que alcanzó su madre en la escuela?,float64,14,31.4
p43b,¿Cuál fue el último grado o año que alcanzó su madre en ese nivel?,float64,7,33.1
p44b,¿Su madre sabe leer y escribir o no sabe leer y escribir un recado?,float64,3,68.9
p45a,"Cuando usted tenía alrededor de 14 años, ¿padre estaba inscrito/afiliado al Segu",float64,3,76.2
p45b,"Cuando usted tenía alrededor de 14 años, ¿madre estaba inscrita/afiliada al Segu",float64,3,74.9
p46,"Cuando usted tenía 14 años, ¿su padre/principal sostén económico trabajaba?",float64,6,1.2
p47,¿Cuáles eran las tareas o funciones principales que desempeñaba su padre/princip,str,9702,0.0
p48,"¿Cuál era el nombre del oficio, puesto o cargo que tenía su padre/principal sost",str,4119,0.0
p48_SINCO,"Nombre del oficio, puesto o cargo del padre - SINCO 2019",float64,140,14.9
p49,"En ese trabajo, ¿su padre/principal sostén económico era…?",float64,7,15.4
p50,"¿Por parte de ese trabajo, su padre/principal sostén económico estaba asegurado",float64,6,15.4
p51,"Cuando usted tenía 14 años, ¿su madre…?",float64,10,2.0
p52,¿Cuál cree usted que era la razón principal por la que su madre no trabajaba?,float64,10,47.2
p53,¿Cuáles eran las tareas o funciones principales que desempeñaba su madre en su t,str,5035,0.0
p54,"¿Cuál era el nombre del oficio, puesto o cargo que tenía su madre en ese trabajo",str,2306,0.0
p54_SINCO,"Nombre del oficio, puesto o cargo de la madre - SINCO 2019",float64,109,61.0
p55,"En ese trabajo, ¿su madre era…?",float64,7,59.9
p56," ¿Por parte de ese trabajo, su madre estaba asegurada o afiliada al…?",float64,6,59.9
